"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Betaproteobacteriales",276,0,314,396,0,420,500,905,1350,38,0
"CCD24",1,0,0,5,0,4,7,96,138,0,0
"CCM19a",0,0,0,0,0,0,2,4,12,0,0
"Cellvibrionales",0,0,0,0,0,1,2,403,941,0,0
"Chromatiales",0,0,0,0,0,0,0,3,6,0,0
"Coxiellales",0,0,2,0,0,0,0,12,8,0,0
"Diplorickettsiales",7,0,9,4,0,3,0,7,15,0,0
"EC3",0,0,0,0,0,0,0,1,0,0,0
"EPR3968-O8a-Bc78",0,0,0,0,0,0,0,79,115,0,0
"Ectothiorhodospirales",0,0,0,0,0,0,0,7,5,0,0
"Enterobacteriales",0,0,0,0,0,1,0,3,2,99,4428
"Francisellales",0,0,0,0,0,0,0,1,0,0,0
"Ga0077536",0,0,0,0,0,0,0,1,1,0,0
"Gammaproteobacteria_Incertae_Sedis",33,0,38,1,0,7,1,107,120,0,0
"Gammaproteobacteria_unclassified",5,0,6,30,0,6,25,353,536,7,0
"HOC36",0,0,0,0,0,0,0,41,24,0,0
"JG36-GS-52",0,0,0,0,0,0,0,1,0,0,0
"JTB23",0,0,0,0,0,0,0,4,4,0,0
"KI89A_clade",0,0,0,0,0,0,0,25,42,0,0
"Legionellales",6,0,5,3,0,2,0,19,12,0,0
"MBMPE27",0,0,0,0,0,0,0,1,0,0,0
"Methylococcales",0,0,0,1,0,0,2,8,12,0,0
"Nitrosococcales",6,0,4,1,0,1,0,75,605,0,0
"OM182_clade",0,0,0,0,0,0,0,2,3,0,0
"Oceanospirillales",0,0,0,0,0,0,0,114,325,1,0
"PLTA13",0,0,0,3,0,1,5,91,132,0,0
"Pasteurellales",0,0,0,0,0,0,0,0,0,2,0
"Pseudomonadales",0,0,0,1,0,11,4,335,5250,103,1284
"R7C24",1,0,2,0,0,9,1,13,28,0,0
"Salinisphaerales",0,0,5,0,0,0,0,24,59,0,0
"Steroidobacterales",7,0,3,37,0,33,30,258,351,5,0
"Vibrionales",0,0,0,0,0,0,0,1,1,4,0
"Xanthomonadales",3,0,6,48,0,73,18,855,1070,7,0
"Proteobacteria_unclassified",18,0,15,11,0,18,8,37,50,0,0
"Methylomirabilales",0,0,0,0,0,0,2,0,5,0,0
"Rokubacteriales",179,0,174,122,2,148,26,122,145,1,0
"Schekmanbacteria_or",0,0,0,0,0,0,1,1,2,0,0
"Brachyspirales",0,0,0,0,0,0,0,0,1,0,0
