"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Amycolatopsis",4,0,72,0,0,0,0,0,0,0,0
"Crossiella",0,0,0,1,0,7,0,0,0,0,0
"Lechevalieria",22,0,35,3,0,2,0,2,1,0,0
"Pseudonocardia",78,0,194,122,0,88,2,25,26,0,0
"Pseudonocardiaceae_ge",0,0,0,1,0,2,0,0,0,0,0
"Pseudonocardiaceae_unclassified",636,0,389,2,0,8,1,2,3,0,0
"Saccharopolyspora",148,0,117,1,0,4,0,0,1,0,0
"Saccharothrix",1,0,11,18,0,12,0,0,0,0,0
"E1B-B3-114",0,0,2,9,0,9,0,0,0,0,0
"Streptomyces",356,0,522,32,0,43,4,146,148,0,0
"Streptomycetaceae_unclassified",1,0,3,4,0,0,0,0,1,0,0
"Nocardiopsaceae_unclassified",0,0,0,0,0,0,0,0,1,0,0
"Nocardiopsis",1,0,1,0,0,0,0,0,0,0,0
"Nonomuraea",10,0,23,8,0,1,0,2,0,0,0
"Sphaerisporangium",1,0,1,0,0,0,0,1,1,0,0
"Streptosporangiaceae_unclassified",5,0,14,0,0,0,0,13,17,0,0
"Streptosporangium",0,0,0,0,0,5,0,3,5,0,0
"Streptosporangiales_unclassified",35,0,66,4,0,4,0,0,0,0,0
"Actinoallomurus",5,0,19,0,0,0,0,1,0,1,0
"Actinocorallia",1,0,2,0,0,1,0,0,0,0,0
"Actinomadura",11,0,13,11,0,8,3,4,2,0,0
"Thermomonosporaceae_unclassified",9,0,16,1,0,2,0,0,0,0,0
"Atopobium",0,0,0,0,0,0,0,0,0,2,0
"FS118-23B-02_ge",0,0,0,0,0,0,0,1,0,0,0
"OPB41_ge",0,0,0,0,0,0,4,5,0,0,0
"MB-A2-108_ge",949,0,1194,542,3,846,30,369,404,2,0
"Euzebya",0,0,1,0,0,1,0,1,1,0,0
"Euzebyaceae_unclassified",0,0,0,5,0,1,0,0,1,0,0
"Nitriliruptoraceae_ge",0,0,0,0,0,0,0,29,18,0,0
"Nitriliruptoraceae_unclassified",0,0,0,0,0,0,0,0,1,0,0
"Nitriliruptoria_unclassified",0,0,0,6,0,6,0,0,0,0,0
"RBG-16-55-12_ge",0,0,0,0,0,0,0,2,0,0,0
"Rubrobacter",24,0,87,329,0,284,1,1,3,1,0
"Gaiella",367,0,479,428,0,509,22,262,300,5,0
"Gaiellales_unclassified",508,0,700,103,1,111,5,1,4,0,0
"67-14_ge",958,0,1435,1391,2,1610,10,206,182,4,0
"Conexibacter",217,0,299,12,0,16,2,6,10,0,0
"Parviterribacter",10,0,22,13,0,24,2,1,1,7,0
"Solirubrobacter",152,0,287,399,0,396,4,17,18,0,0
"Solirubrobacteraceae_unclassified",100,0,138,18,0,30,1,4,3,0,0
"Solirubrobacterales_unclassified",88,0,120,178,0,249,9,26,19,0,0
"Thermoleophilia_unclassified",27,0,56,60,0,59,2,4,5,0,0
"WCHB1-81_ge",0,0,0,0,0,0,0,0,4,0,0
"Armatimonadetes_unclassified",0,0,0,1,0,1,1,1,0,0,0
"Armatimonas",0,0,0,0,0,0,2,0,0,0,0
"Armatimonadales_ge",9,0,6,77,0,95,0,0,0,0,0
"Armatimonadales_unclassified",1,0,2,16,0,19,0,0,0,0,0
"Chthonomonas",10,0,7,0,0,0,1,3,1,0,0
"Chthonomonadales_ge",31,0,41,2,0,11,4,0,1,0,0
"Chthonomonadales_unclassified",7,0,4,0,0,0,0,0,0,0,0
"Fimbriimonadaceae_ge",5,0,6,11,0,24,6,9,4,0,0
"Fimbriimonas",0,0,1,0,0,0,0,0,0,0,0
"Fimbriimonadales_ge",0,0,0,0,0,0,1,2,1,0,0
